Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
200,256,0.0005,0.000001,0.0000,0.9811
200,1024,0.0010,0.000001,0.0000,0.9797
200,512,0.0005,0.000001,0.0000,0.9792
200,512,0.0002,0.000001,0.0000,0.9792
200,1024,0.0005,0.000001,0.0000,0.9787
200,256,0.0002,0.000001,0.0000,0.9782
200,256,0.0001,0.000001,0.0000,0.9771
200,512,0.0010,0.000001,0.0000,0.9767
200,1024,0.0002,0.000001,0.0000,0.9740
200,512,0.0001,0.000001,0.0000,0.9739
200,1024,0.0001,0.000001,0.0000,0.9706
200,256,0.0010,0.000001,0.0000,0.9644
